time_index,air_temperature_C,relative_humidity_percent,wind_speed_kmh,hour,target_temp
2023-01-01 00:00:00,15.8,95,3.3,0,15.3
2023-01-01 01:00:00,15.3,96,4.3,1,14.4
2023-01-01 02:00:00,14.4,96,4.5,2,14.7
2023-01-01 03:00:00,14.7,91,6.6,3,14.7
2023-01-01 04:00:00,14.7,90,5.7,4,14.1
2023-01-01 05:00:00,14.1,94,5.9,5,13.6
2023-01-01 06:00:00,13.6,95,5.1,6,13.8
2023-01-01 07:00:00,13.8,94,8.1,7,15.1
2023-01-01 08:00:00,15.1,88,12.3,8,17.0
2023-01-01 09:00:00,17.0,81,6.8,9,19.3
2023-01-01 10:00:00,19.3,73,7.9,10,21.6
2023-01-01 11:00:00,21.6,63,5.9,11,23.6
2023-01-01 12:00:00,23.6,55,4.6,12,25.5
2023-01-01 13:00:00,25.5,48,6.9,13,26.7
2023-01-01 14:00:00,26.7,42,9.4,14,27.6
2023-01-01 15:00:00,27.6,37,8.4,15,28.3
2023-01-01 16:00:00,28.3,31,7.6,16,28.5
2023-01-01 17:00:00,28.5,27,6.6,17,28.6
2023-01-01 18:00:00,28.6,26,6.4,18,28.0
2023-01-01 19:00:00,28.0,27,7.8,19,25.9
2023-01-01 20:00:00,25.9,35,10.9,20,21.9
2023-01-01 21:00:00,21.9,43,11.6,21,20.0
2023-01-01 22:00:00,20.0,47,8.2,22,19.3
2023-01-01 23:00:00,19.3,52,11.0,23,18.6
2023-01-02 00:00:00,18.6,57,12.1,0,17.5
2023-01-02 01:00:00,17.5,64,12.6,1,16.4
2023-01-02 02:00:00,16.4,69,13.6,2,15.3
2023-01-02 03:00:00,15.3,75,13.2,3,14.3
2023-01-02 04:00:00,14.3,81,10.9,4,13.5
2023-01-02 05:00:00,13.5,87,9.0,5,12.8
2023-01-02 06:00:00,12.8,92,7.6,6,12.4
2023-01-02 07:00:00,12.4,95,5.4,7,14.2
2023-01-02 08:00:00,14.2,87,6.4,8,16.3
2023-01-02 09:00:00,16.3,77,8.4,9,18.9
2023-01-02 10:00:00,18.9,65,9.0,10,21.4
2023-01-02 11:00:00,21.4,55,9.4,11,23.8
2023-01-02 12:00:00,23.8,45,10.7,12,25.9
2023-01-02 13:00:00,25.9,37,11.8,13,27.5
2023-01-02 14:00:00,27.5,31,10.2,14,28.6
2023-01-02 15:00:00,28.6,28,8.9,15,29.0
2023-01-02 16:00:00,29.0,25,8.5,16,29.3
2023-01-02 17:00:00,29.3,24,8.4,17,29.2
2023-01-02 18:00:00,29.2,24,9.4,18,28.3
2023-01-02 19:00:00,28.3,27,14.0,19,25.1
2023-01-02 20:00:00,25.1,33,16.7,20,22.0
2023-01-02 21:00:00,22.0,41,12.2,21,20.5
2023-01-02 22:00:00,20.5,46,10.5,22,19.5
2023-01-02 23:00:00,19.5,49,11.0,23,19.7
2023-01-03 00:00:00,19.7,39,17.5,0,17.9
2023-01-03 01:00:00,17.9,48,16.1,1,16.5
2023-01-03 02:00:00,16.5,54,14.2,2,15.4
2023-01-03 03:00:00,15.4,58,13.7,3,14.8
2023-01-03 04:00:00,14.8,61,13.5,4,14.0
2023-01-03 05:00:00,14.0,63,13.2,5,13.2
2023-01-03 06:00:00,13.2,67,12.7,6,12.5
2023-01-03 07:00:00,12.5,71,12.8,7,13.6
2023-01-03 08:00:00,13.6,67,13.4,8,15.2
2023-01-03 09:00:00,15.2,63,13.0,9,17.9
2023-01-03 10:00:00,17.9,54,12.3,10,20.9
2023-01-03 11:00:00,20.9,44,11.9,11,23.8
2023-01-03 12:00:00,23.8,36,12.9,12,26.3
2023-01-03 13:00:00,26.3,29,14.0,13,28.2
2023-01-03 14:00:00,28.2,24,15.4,14,29.7
2023-01-03 15:00:00,29.7,21,16.4,15,30.6
2023-01-03 16:00:00,30.6,20,17.0,16,30.9
2023-01-03 17:00:00,30.9,19,18.0,17,30.7
2023-01-03 18:00:00,30.7,20,17.4,18,29.8
2023-01-03 19:00:00,29.8,21,18.2,19,28.2
2023-01-03 20:00:00,28.2,24,15.4,20,25.3
2023-01-03 21:00:00,25.3,29,10.3,21,23.8
2023-01-03 22:00:00,23.8,33,10.1,22,22.3
2023-01-03 23:00:00,22.3,38,8.9,23,21.5
2023-01-04 00:00:00,21.5,40,10.5,0,20.6
2023-01-04 01:00:00,20.6,43,11.3,1,19.5
2023-01-04 02:00:00,19.5,50,12.7,2,18.1
2023-01-04 03:00:00,18.1,58,11.9,3,16.8
2023-01-04 04:00:00,16.8,64,9.7,4,15.6
2023-01-04 05:00:00,15.6,70,7.4,5,14.2
2023-01-04 06:00:00,14.2,78,6.9,6,14.0
2023-01-04 07:00:00,14.0,82,6.4,7,16.2
2023-01-04 08:00:00,16.2,70,4.7,8,18.1
2023-01-04 09:00:00,18.1,64,3.3,9,21.5
2023-01-04 10:00:00,21.5,54,1.5,10,25.0
2023-01-04 11:00:00,25.0,44,2.3,11,28.5
2023-01-04 12:00:00,28.5,35,4.8,12,31.3
2023-01-04 13:00:00,31.3,29,6.6,13,33.2
2023-01-04 14:00:00,33.2,23,9.2,14,33.9
2023-01-04 15:00:00,33.9,22,12.4,15,33.5
2023-01-04 16:00:00,33.5,25,14.1,16,33.1
2023-01-04 17:00:00,33.1,26,14.2,17,32.2
2023-01-04 18:00:00,32.2,27,14.6,18,30.3
2023-01-04 19:00:00,30.3,31,14.0,19,26.6
2023-01-04 20:00:00,26.6,42,12.6,20,23.6
2023-01-04 21:00:00,23.6,51,9.6,21,21.2
2023-01-04 22:00:00,21.2,59,6.0,22,19.8
2023-01-04 23:00:00,19.8,66,3.0,23,19.4
2023-01-05 00:00:00,19.4,68,3.3,0,18.0
2023-01-05 01:00:00,18.0,77,4.7,1,17.7
2023-01-05 02:00:00,17.7,78,5.4,2,17.0
2023-01-05 03:00:00,17.0,81,7.8,3,16.2
2023-01-05 04:00:00,16.2,83,8.4,4,15.6
2023-01-05 05:00:00,15.6,86,9.4,5,15.4
2023-01-05 06:00:00,15.4,88,9.0,6,15.9
2023-01-05 07:00:00,15.9,85,9.7,7,16.5
2023-01-05 08:00:00,16.5,81,10.4,8,17.3
2023-01-05 09:00:00,17.3,77,8.3,9,19.1
2023-01-05 10:00:00,19.1,68,8.3,10,21.9
2023-01-05 11:00:00,21.9,57,8.8,11,24.1
