time_index,air_temperature_C,relative_humidity_percent,wind_speed_kmh,presion_hPa,hour,target_temp
2020-01-01 00:00:00,20.6,47,5.4,986.1,0,19.4
2020-01-01 01:00:00,19.4,51,6.8,986.0,1,18.1
2020-01-01 02:00:00,18.1,53,8.2,985.9,2,16.9
2020-01-01 03:00:00,16.9,57,8.4,985.7,3,16.1
2020-01-01 04:00:00,16.1,61,6.3,985.8,4,15.6
2020-01-01 05:00:00,15.6,65,4.9,986.1,5,15.4
2020-01-01 06:00:00,15.4,68,6.1,986.3,6,17.0
2020-01-01 07:00:00,17.0,63,6.1,986.8,7,18.6
2020-01-01 08:00:00,18.6,60,10.0,988.2,8,21.5
2020-01-01 09:00:00,21.5,49,11.2,988.5,9,24.2
2020-01-01 10:00:00,24.2,39,13.4,988.8,10,26.7
2020-01-01 11:00:00,26.7,32,12.0,988.9,11,29.0
2020-01-01 12:00:00,29.0,27,11.6,989.1,12,30.6
2020-01-01 13:00:00,30.6,25,9.4,988.6,13,31.9
2020-01-01 14:00:00,31.9,24,7.8,988.1,14,32.1
2020-01-01 15:00:00,32.1,25,10.1,987.4,15,31.0
2020-01-01 16:00:00,31.0,29,14.4,987.2,16,29.2
2020-01-01 17:00:00,29.2,31,15.2,986.9,17,27.3
2020-01-01 18:00:00,27.3,34,14.6,987.2,18,24.8
2020-01-01 19:00:00,24.8,40,14.3,987.7,19,22.2
2020-01-01 20:00:00,22.2,46,10.8,988.6,20,20.0
2020-01-01 21:00:00,20.0,56,9.8,989.3,21,18.5
2020-01-01 22:00:00,18.5,64,7.5,989.4,22,17.5
2020-01-01 23:00:00,17.5,69,6.6,989.2,23,16.6
2020-01-02 00:00:00,16.6,73,5.6,989.3,0,15.9
2020-01-02 01:00:00,15.9,77,7.1,988.7,1,15.2
2020-01-02 02:00:00,15.2,81,7.4,988.4,2,14.5
2020-01-02 03:00:00,14.5,84,6.1,988.2,3,14.0
2020-01-02 04:00:00,14.0,86,3.6,987.9,4,13.6
2020-01-02 05:00:00,13.6,88,2.3,988.2,5,13.6
2020-01-02 06:00:00,13.6,87,4.4,988.4,6,15.4
2020-01-02 07:00:00,15.4,77,3.3,989.2,7,16.5
2020-01-02 08:00:00,16.5,73,2.1,990.1,8,19.7
2020-01-02 09:00:00,19.7,61,0.4,990.2,9,23.0
2020-01-02 10:00:00,23.0,51,1.5,990.2,10,25.9
2020-01-02 11:00:00,25.9,44,2.1,990.3,11,28.5
2020-01-02 12:00:00,28.5,38,4.5,990.2,12,30.4
2020-01-02 13:00:00,30.4,34,7.6,989.7,13,31.6
